,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,normalized_price
2755,8595706,Spacious Apartment Near Downtown,45236068,Khalil,,78705,30.287729012139998,-97.72528859815378,Entire home/apt,400,1,0,,,1,0,0.6370235934664247
2756,8596517,5 min walk to ACL Festival,8926718,Karen,,78704,30.262680578632487,-97.77159723336328,Entire home/apt,140,2,16,2017-04-09,0.45,1,0,0.16515426497277677
2757,8597884,Shabby Chic Zilker Cottage (2br/1b),2423516,Lindsey,,78704,30.26105104021237,-97.77587740608476,Entire home/apt,500,3,0,,,2,0,0.8185117967332124
2758,8609241,New Condo Steps from Zilker Park!,45293062,Ryan,,78704,30.26491132558485,-97.76251402046343,Private room,160,1,1,2015-10-05,0.03,1,0,0.2014519056261343
2759,8609590,"Central Neighborhood, Perfect Home!",377618,Susan,,78704,30.24772872728075,-97.76478428491093,Entire home/apt,145,2,138,2018-08-24,3.88,2,337,0.17422867513611615
2760,8609730,Townhouse off of South Congress,45294316,Shelby,,78745,30.207335209856076,-97.77541102515677,Entire home/apt,200,1,0,,,1,0,0.27404718693284935
2761,8611299,Cozy bedroom/bath in west campus.,19337685,Tatiana,,78705,30.296012310262817,-97.7445925524238,Private room,75,1,0,,,1,0,0.047186932849364795
2762,8612362,Walkable. Central. Quiet. Home.,2488342,Dana,,78756,30.317757168645873,-97.74135186321173,Entire home/apt,66,2,96,2018-08-24,2.72,1,280,0.030852994555353903
2763,8613434,Charming Studio in heart of SOCO,45312111,Anna,,78704,30.24537556300569,-97.75377811057811,Entire home/apt,125,2,0,,,1,0,0.13793103448275862
2764,8613818,FFF Fest Location 15 min from dwtn,45313941,Patrick,,78757,30.32855622052824,-97.7266414848204,Entire home/apt,150,1,1,2015-10-11,0.03,2,0,0.18330308529945555
2765,8613947,Cozy room in West Campus,2841405,Jenny,,78705,30.293332072062412,-97.74423881038902,Private room,55,1,2,2015-10-12,0.06,1,0,0.010889292196007259
2766,8614036,SoCo Luxury 2BD/2BA apartment,13797526,Caitlin,,78704,30.25382031506744,-97.74671171624891,Entire home/apt,300,1,2,2016-03-23,0.07,1,0,0.455535390199637
